Year,Constituency Name,Constituency Type,Candidates,Party,Vote Count,Vote Percentage
2015,Nee Soon,GRC,K Shanmugam | Kwek Hian Chuan | Lee Bee Wah | Muhammad Faishal Ibrahim | Ng Kok Kwang Louis,PAP,82287,0.6683
2015,Pasir Ris-Punggol,GRC,Abu Bin Mohamed | Harminder Pal Singh S/O Gurcharan Singh | Lim Bak Chuan Desmond | Lim Tung Hee Arthero | Ong Teik Seng | Wong Way Weng,SDA,46550,0.2711
2015,Pasir Ris-Punggol,GRC,Janil Puthucheary | Ng Chee Meng | Sun XueLing | Teo Chee Hean | Teo Ser Luck | Zainal Bin Sapari,PAP,125166,0.7289
2015,Pioneer,SMC,Cedric Foo Chee Keng,PAP,18017,0.7635
2015,Pioneer,SMC,Ong Beng Soon Elvin,NSP,5581,0.2365
2015,Potong Pasir,SMC,Loh Woon Lee Lina,SPP,5368,0.3361
2015,Potong Pasir,SMC,Sitoh Yih Pin,PAP,10602,0.6639
2015,Punggol East,SMC,Charles Chong You Fook,PAP,16977,0.5177
2015,Punggol East,SMC,Lee Li Lian,WP,15818,0.4823
2015,Radin Mas,SMC,Han Hui Hui,Independent,2630,0.1003
2015,Radin Mas,SMC,Kumar S/O Appavoo,RP,3333,0.1272
2015,Radin Mas,SMC,Tan Chin Siong,PAP,20246,0.7725
2015,Sembawang,GRC,Abdul Rasheed S/O Y Abdul Kuthus | Lim Tong Zhen| Ng Chung Hon | Yadzeth Bin Hairis | Yeo Ren-Yuan,NSP,37087,0.2772
2015,Sembawang,GRC,Amrin Amin | Khaw Boon Wan | Lim Wee Kiak | Ong Ye Kung | Vikram Nair,PAP,96718,0.7228
2015,Sengkang West,SMC,Koh Choong Yong,WP,10721,0.3787
2015,Sengkang West,SMC,Lam Pin Min,PAP,17586,0.6213
2015,Tampines,GRC,Baey Yam Keng | Cheng Li Hui | Desmond Choo Pey Ching | Heng Swee Keat | Masagos Zulkifli,PAP,95305,0.7207
2015,Tampines,GRC,Choong Hon Heng | Fong Chin Leong | Lim Tean | Nor Lella Mardiiiah Bte Mohmed | Teo Kway Huang Sebastian,NSP,36943,0.2793
2015,Tanjong Pagar,GRC,Ang Yong Guan | Chirag Praful Desai | Chiu Weng Hoe Melvyn | Mohamad Fahmi Bin Ahmad Rais | Tan Jee Say,SGF,25998,0.2229
2015,Tanjong Pagar,GRC,Chan Chun Sing | Chia Shi-Lu | Indranee Thurai Rajah | Joan Pereira | Melvin Yong Yik Chye,PAP,90635,0.7771
2015,West Coast,GRC,Foo Mee Har | Lim Hng Kiang | Siswaran | Patrick Tay Teck Guan,PAP,71214,0.7857
2015,West Coast,GRC,Kenneth Andrew Jeyaretnam | Noraini Bte Yunus | Soh Guan Soon | Zhu LaiCheng,RP,19426,0.2143
2015,Yuhua,SMC,Grace Fu Hai Yien,PAP,15324,0.7355
2015,Yuhua,SMC,Go Hui Leng,SDP,5512,0.2645
2020,Aljunied,GRC,Chan Hui Yuh | Chua Eng Leong | Victor Lye Thiam Fatt | Shamsul Kamar Bin Mohamed Razali | Alex Yeo Sheng Chye,PAP,57330,0.4005
2020,Aljunied,GRC,Gerald Giam Yean Song | Sylvia Lim | Muhamad Faisal Bin Abdul Manap | Leon Perera | Pritam Singh,WP,85815,0.5995
2020,Ang Mo Kio,GRC,Darryl David | Gan Thiam Poh | Lee Hsien Loong | Nadia Ahmad Samdin | Ng Ling Ling,PAP,124597,0.7191
2020,Ang Mo Kio,GRC,"Kenneth Andrew Jeyaretnam | Noraini Bte Yunus | Soh Guan Soon | Yeo Yao Hui, Charles | Zhu Laicheng",RP,48677,0.2809
2020,Bishan-Toa Payoh,GRC,Chee Hong Tat | Chong Kee Hiong | Ng Eng Hen | Saktiandi Bin Supaat,PAP,62983,0.6723
2020,Bishan-Toa Payoh,GRC,Steve Chia | Melvyn Chiu | Williiamson Lee | Osman Sulaiman,SPP,30696,0.3277
2020,Bukit Batok,SMC,Chee Soon Juan,SDP,12787,0.452
2020,Bukit Batok,SMC,Murali Pillai,PAP,15500,0.548
2020,Bukit Panjang,SMC,Liang Eng Hwa,PAP,18085,0.5373
